date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:07:18	9594/9594	---M-Z	200	added ('OK')	text/css	etag:%22162d3a426fdcd11:0%22	http://static.emol.cl/emol50/css/jquery.fileupload.min.css?v=2	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/css/jquery.fileupload.min5e1f.css	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:19	19589/19589	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225da81536955cd31:0%22	http://static.emol.cl/emol50/js/perfil.js?v=3	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/js/perfil30f4.js	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:19	4508/4508	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22cab219128c75d21:0%22	http://static.emol.cl/emol50/js/social.scroll.min.js	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/js/social.scroll.min.js	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:19	22932/22932	---M-Z	200	added ('OK')	application/x-javascript	etag:%224ab7481ae5dad21:0%22	http://static.emol.cl/emol50/js/jquery.validate.min.js	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/js/jquery.validate.min.js	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:20	17854/17854	---M-Z	200	added ('OK')	application/x-javascript	etag:%2221635f7b30ad31:0%22	http://static.emol.cl/emol50/js/jquery.validate.methods.min.js	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/js/jquery.validate.methods.min.js	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:20	2272/2272	---M-Z	200	added ('OK')	application/javascript	etag:%22a457e3da8310d31:0%22	http://static.emol.cl/emol50/js/jquery.scroll.min.js	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/js/jquery.scroll.min.js	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:21	1813/1813	---M--	200	added ('OK')	image/png	etag:%2270bd82d79bad01:0%22	http://static.emol.cl/emol50/img/sin_image_comentarios.png	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/img/sin_image_comentarios.png	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:27	35220/35220	---M--	200	added ('OK')	image/jpeg	etag:%22c4d95b89737d31:0%22	http://static.emol.cl/emol50/img/banner_emol_social.jpg	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/img/banner_emol_social.jpg	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:27	254/254	---M--	200	added ('OK')	image/png	etag:%22c0ddbb821fced01:0%22	http://static.emol.cl/emol50/img/pram_mer.png	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/img/pram_mer.png	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:27	44206/44206	---M--	200	added ('OK')	image/jpeg	etag:%2275ca4336ccd31:0%22	http://static.emol.cl/emol50/img/valusersocial_02.jpg	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/img/valusersocial_02.jpg	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
